realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1976-01-01,164014.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1977-01-01,173460.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1978-01-01,182114.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1979-01-01,184638.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1980-01-01,188828.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1981-01-01,198021.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1982-01-01,213405.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1983-01-01,230474.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1984-01-01,243254.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1985-01-01,249601.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1986-01-01,254814.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1987-01-01,249574.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1988-01-01,250991.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1989-01-01,257917.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1990-01-01,270484.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1991-01-01,276211.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1992-01-01,286421.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1993-01-01,294093.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1994-01-01,300786.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1995-01-01,302756.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1996-01-01,308564.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
2023-01-20,2023-01-20,1997-01-01,312264.0,LAUST020000000000006A,"Civilian Labor Force in Alaska",Alaska,A,Persons,NSA
